Entity,Entity Type,Count,Example Sentence,First Level,Second Level,Third Level,Mapped Entity,Similarity
9 x 22 mm,descriptor,1,"there is a low attenuation region in the posterior aspect of the interhemispheric fissure ( best demonstrated on image nine of series two ) which measures approximately 9 x 22 mm and has attenuation characteristics that parallels that of csf , which could represents a prominent sulcus or a small arachnoid cyst .",size,numeric,numeric,,
20 x 12 mm,descriptor,1,"additionally , in the periphery of the left upper lobe there is a low attenuation region that measures approximately 20 x 12 mm and may be artifactual related to partial volume averaging through prominent sulcus , or could represent a small lesion ( difficult to determine if this is intra-axial or extra-axial , but extra-axial would be favored ) .",size,numeric,numeric,,
4.0 x 3.5 cm,descriptor,1,"brain : interval increase in size of a parenchymal hemorrhage centered within the posterior right temporal lobe , now measuring 4 . 0 x 3 . 5 cm in transaxial dimensions ( previously previously 4 . 0 x 2 . 2 cm ) .",size,numeric,numeric,,
14 and 16 mm,descriptor,1,"there has been interval development of multiple intracranial lesions . 15 mm hyperdense lesion in the high right posterior frontal lobe near the vertex , 14 and 16 mm lesions in the anterior right frontal lobe , 9 mm lesion in the peripheral right parietal lobe , 11 mm lesion in the right thalamus , 19 mm lesion in the white matter of the left parietal lobe , and poorly marginated 3 cm lesion in the left cerebellar hemisphere peripherally with some adjacent edema resulting in mild mass effect upon the right fourth ventricle . .",size,numeric,numeric,,
38x 32 mm,descriptor,1,"the high density portion is decreasing , now 38x 32 mm in maximal diameter , previously 41 x 35 mm .",size,numeric,numeric,,
38x 32 mm in maximal diameter,descriptor,1,"the high density portion is decreasing , now 38x 32 mm in maximal diameter , previously 41 x 35 mm .",size,numeric,numeric,,
previously 41 x 35 mm,descriptor,1,"the high density portion is decreasing , now 38x 32 mm in maximal diameter , previously 41 x 35 mm .",size,numeric,numeric,,
less than 1cm,descriptor,1,"stable focus of low attenuation measuring less than 1cm in the region of the left external capsule , possibly a chronic lacunar infarct .",size,numeric,numeric,,
36 x 15 mm,descriptor,1,this measures 36 x 15 mm .,size,numeric,numeric,,
68 x 39 x 49 mm,descriptor,1,"brain : large , oval , intra-axial hyperdense hemorrhage centered at the left lentiform and corona radiata now encompasses 68 x 39 x 49 mm ( ap by transverse by cc ) .",size,numeric,numeric,,
approximately 61 by 39 by 44 mm,descriptor,1,versus approximately 61 by 39 by 44 mm previously when measured in the same way ( about 65 ml estimated intra-axial blood volume today versus 52 ml by my calculation at presentation .,size,numeric,numeric,,
61 by 39 by 44 mm,descriptor,1,versus approximately 61 by 39 by 44 mm previously when measured in the same way ( about 65 ml estimated intra-axial blood volume today versus 52 ml by my calculation at presentation .,size,numeric,numeric,,
65 ml,descriptor,1,versus approximately 61 by 39 by 44 mm previously when measured in the same way ( about 65 ml estimated intra-axial blood volume today versus 52 ml by my calculation at presentation .,size,numeric,numeric,,
4 x 5.4 cm,descriptor,1,"previously measured at 4 x 5 . 4 cm , the abnormality appears to measure 4 . 5 x 2 . 5 cm .",size,numeric,numeric,,
4.5 x 2.5 cm,descriptor,1,"previously measured at 4 x 5 . 4 cm , the abnormality appears to measure 4 . 5 x 2 . 5 cm .",size,numeric,numeric,,
prior 4.9 mm,descriptor,1,the small left-sided subdural collection is relatively similar or at most minimally increased in size now measuring 5 . 2 mm versus prior 4 . 9 mm .,size,numeric,numeric,,
2 by 3 mm,descriptor,1,the patient has history of a 2 by 3 mm anterior communicating artery aneurysm based on prior mri but this is not visible on today' s noncontrast head ct .,size,numeric,numeric,,
approximately 1.7-2 cm,descriptor,1,the other masses measure approximately 1 . 7-2 cm in diameter each .,size,numeric,numeric,,
1.7-2 cm,descriptor,1,the other masses measure approximately 1 . 7-2 cm in diameter each .,size,numeric,numeric,,
18 to 14 mm,descriptor,1,the thickness has decreased in the interval from the prior exam from 18 to 14 mm in the area of more acute hemorrhage .,size,numeric,numeric,,
maximal thickness of 8.2 mm,descriptor,1,left-sided subdural hematoma with maximal thickness of 8 . 2 mm .,size,numeric,numeric,,
maximal diameter 12 mm,descriptor,1,"calcification along the anterior falx projecting to the left is unchanged in size and configuration , maximal diameter 12 mm .",size,numeric,numeric,,
6 months,descriptor,1,"given the fact that no change has occurred in 6 months , if this is a meningioma it is not enlarging rapidly .",size,numeric,numeric,,
3.6 x 1.9 cm,descriptor,1,this region measures 3 . 6 x 1 . 9 cm .,size,numeric,numeric,,
1.9 x 3.0 cm,descriptor,1,"the hematoma within the right occipital lobe is grossly stable measuring 1 . 9 x 3 . 0 cm ( series 2 , image 12 ) .",size,numeric,numeric,,
measuring up to 3.6 cm,descriptor,1,"brain : increased size of right frontal brain parenchymal hemorrhage measuring up to 3 . 6 cm , previously 1 . 9 cm .",size,numeric,numeric,,
4.6 x 2.8 cm,descriptor,1,"increased size of right temporal lobe hemorrhage measuring 4 . 6 x 2 . 8 cm , previously 3 . 8 x 2 . 5 cm .",size,numeric,numeric,,
3.8 x 2.5 cm,descriptor,1,"increased size of right temporal lobe hemorrhage measuring 4 . 6 x 2 . 8 cm , previously 3 . 8 x 2 . 5 cm .",size,numeric,numeric,,
14 mm x 8 mm,descriptor,1,unchanged small left frontal parenchymal hemorrhage with surrounding edema measuring 14 mm x 8 mm .,size,numeric,numeric,,
3.8 x 3.4 cm,descriptor,1,a left basal ganglia parenchymal hemorrhage is stable in size measuring 3 . 8 x 3 . 4 cm .,size,numeric,numeric,,
1.1 cm maximum diameter,descriptor,1,"a small subdural hematoma is identified along the medial inferior aspect of the right anterior cranial fossa , measuring 1 . 1 cm maximum diameter .",size,numeric,numeric,,
1.7 cm maximum diameter,descriptor,1,there is a 1 . 7 cm maximum diameter hyperdense mass in the posterior aspect of the right frontal lobe with adjacent encephalomalacia and / or postsurgical change .,size,numeric,numeric,,
18 x 20 mm,descriptor,1,"brain : stable acute hemorrhage within the superior left frontoparietal region measuring 18 x 20 mm axially ( series 3 , image 23 ) .",size,numeric,numeric,,
3.8 x 3.7 cm,descriptor,1,"a large hematoma of the right frontotemporoparietal junction is enlarged , measuring 5 . 4 x 3 . 7 cm , previously 3 . 8 x 3 . 7 cm when measured similarly ( series 3 , image 17 ) .",size,numeric,numeric,,
3.3 x 3.5 cm,descriptor,1,the hematoma measures 3 . 4 x 3 . 7 cm and previously measured 3 . 3 x 3 . 5 cm at a similar level .,size,numeric,numeric,,
2.8 x 1.2 cm,descriptor,1,there is midline scalp swelling with small midline subdural hematoma that measures 2 . 8 x 1 . 2 cm in thickness .,size,numeric,numeric,,
4.8 x 4.7 cm,descriptor,1,the hemorrhage measures approximately 4 . 8 x 4 . 7 cm axial dimension and causes significant mass effect in the posterior fossa .,size,numeric,numeric,,
15 x 9 x 15 mm,descriptor,1,extra-axial mass 15 x 9 x 15 mm right parietal region containing foci of calcification likely a small meningioma .,size,numeric,numeric,,
16 x 11 x 24 mm length,descriptor,1,"additional extra-axial mass with probable calcification at the left frontoparietal region , 16 x 11 x 24 mm length likely an additional small meningioma .",size,numeric,numeric,,
24.8 mm,descriptor,1,"there is diffuse left mca territory white matter and subcortical hypodensity with a few relative areas of internal hyperdensity , for example left frontal lobe measuring 2 . 1 x 1 . 9 cm image 24 . 8 mm rightward midline shift is noted .",size,numeric,numeric,,
3.3 x 3.0 cm,descriptor,1,the hemorrhage measures approximately 3 . 3 x 3 . 0 cm in axial plane compared to 3 . 2 x 3 . 0 cm on the 4 / 23 / 1995 head ct .,size,numeric,numeric,,
6.1 x 4.9 cm,descriptor,1,brain : there is a 6 . 1 x 4 . 9 cm hyperdense mass arising from or abutting the right frontal cortex .,size,numeric,numeric,,
1 mm and 2 mm,descriptor,1,between 1 mm and 2 mm of left-to-right midline shift .,size,numeric,numeric,,
4.6 x 2.2 cm,descriptor,1,the largest parenchymal hematoma centered within the right lentiform nucleus now measures 4 . 6 x 2 . 2 cm ( previously 4 . 5 x 2 . 0 cm ) .,size,numeric,numeric,,
9 x 9 millimeters,descriptor,1,this focus of hemorrhage is estimated to measure 9 x 9 millimeters .,size,numeric,numeric,,
30 x 38 mm,descriptor,1,left thalamic hemorrhage unchanged measuring 30 x 38 mm .,size,numeric,numeric,,
2.5 x 0.8 cm,descriptor,1,there is a focal right parietal region scalp hematoma / swelling that measures approximately 2 . 5 x 0 . 8 cm .,size,numeric,numeric,,
cross-sectional measurements of 33 x 19 mm,descriptor,1,the smaller is in the paramedian left cerebellar hemisphere with cross-sectional measurements of 33 x 19 mm .,size,numeric,numeric,,
27 x 40 mm,descriptor,1,the larger is in the right inferior cerebellar hemisphere measuring 27 x 40 mm .,size,numeric,numeric,,
4.4 x 2.0 cm,descriptor,1,"there is an epidural hematoma in the right temporal lobe region , acute , measuring 4 . 4 x 2 . 0 cm , causing localized mass effect and 4 mm of midline shift toward the left .",size,numeric,numeric,,
2.2 x 3.2 cm,descriptor,1,"brain : ventricles , cisterns and other csf spaces are within normal . 2 . 2 x 3 . 2 cm focus of low attenuation over the right basal ganglia suggesting acute to subacute infarction .",size,numeric,numeric,,
7 x 7 x 10 mm,descriptor,1,brain : previously identified acute intraparenchymal hemorrhage positioned adjacent to the temporal horn of the left lateral ventricle use not significantly changed in size in appearance measuring 7 x 7 x 10 mm .,size,numeric,numeric,,
previously 10 - 11 mm,descriptor,1,"mass effect is stable to mildly increased , rightward midline shift now measures up to 13 mm ( previously 10 - 11 mm ) .",size,numeric,numeric,,
6.9 x 5.1 cm,descriptor,1,"interval increase in size of left basal ganglia / subcortical hemorrhage , now measuring 6 . 9 x 5 . 1 cm ( previously 2 . 3 x 3 . 3 cm ) .",size,numeric,numeric,,
2.3 x 3.3 cm,descriptor,1,"interval increase in size of left basal ganglia / subcortical hemorrhage , now measuring 6 . 9 x 5 . 1 cm ( previously 2 . 3 x 3 . 3 cm ) .",size,numeric,numeric,,
measuring up to 7 mm thickness,descriptor,1,mixed attenuation left subdural hematoma measuring up to 7 mm thickness .,size,numeric,numeric,,
approximately 4 mm total thickness,descriptor,1,there is a smaller right temporoparietal subdural hematoma measuring approximately 4 mm total thickness .,size,numeric,numeric,,
1.3 at 2.3 cm,descriptor,1,no flow identified intraparenchymal contusion involving the inferior right frontal lobe is stable in size measuring approximately 1 . 3 at 2 . 3 cm .,size,numeric,numeric,,
3.2 x 1.3 cm,descriptor,1,parenchymal contusion within the anterior left temporal lobe is also stable in size measuring approximately 3 . 2 x 1 . 3 cm .,size,numeric,numeric,,
proximally 2 mm,descriptor,1,there is mass effect on the left lateral ventricle with proximally 2 mm of left right midline shift .,size,numeric,numeric,,
8.3 x 5.3 cm,descriptor,1,large left hemispheric hemorrhage appears relatively similar in overall size when compared to the prior exam with maximal transverse dimension of 8 . 3 x 5 . 3 cm . 1 . 5 cm of midline shift to the right without significant change .,size,numeric,numeric,,
3.2 x 4.5 cm,descriptor,1,the size of the hematoma measures 3 . 2 x 4 . 5 cm and previously measured 3 . 1 x 4 . 7 cm .,size,numeric,numeric,,
3.1 x 4.7 cm,descriptor,1,the size of the hematoma measures 3 . 2 x 4 . 5 cm and previously measured 3 . 1 x 4 . 7 cm .,size,numeric,numeric,,
6.1 x 1.8 cm,descriptor,1,"right parietal intraparenchymal hematoma is slightly decreased in size measuring 6 . 1 x 1 . 8 cm , previously 6 . 3 x 2 . 2 cm .",size,numeric,numeric,,
34 x 24 mm,descriptor,1,"previously , the hematoma was measured at 34 x 24 mm .",size,numeric,numeric,,
5.9 x 2.2 cm,descriptor,1,"previous identified intraparenchymal hemorrhage centered in the right temporal lobe measures approximately 5 . 9 x 2 . 2 cm on today's study , felt to be overall little interval changed from previous .",size,numeric,numeric,,
4.5 mm thick,descriptor,1,"decreased size of previously identified bilateral frontoparietal subdural hematomas , with only minimal residual left parietal subdural hematoma identified , 4 . 5 mm thick .",size,numeric,numeric,,
4.5 cm ap x 5 cm,descriptor,1,this mass measures approximately 4 . 5 cm ap x 5 cm transversely by 5 cm in superior to inferior dimension .,size,numeric,numeric,,
ap x 5 cm,descriptor,1,this mass measures approximately 4 . 5 cm ap x 5 cm transversely by 5 cm in superior to inferior dimension .,size,numeric,numeric,,
5 to 10 mm,descriptor,1,there is a surrounding band of 5 to 10 mm of low density suggesting edema .,size,numeric,numeric,,
4-mm,descriptor,1,possible 4-mm nodular density near the right 11th rib not well seen .,size,numeric,numeric,,
maximal thickness is 16 mm,descriptor,1,"brain : mostly high-density subdural hematoma along the left cerebral convexity , greatest in the left frontal region where maximal thickness is 16 mm .",size,numeric,numeric,,
1.7 by 0.7 cm,descriptor,1,other : 1 . 7 by 0 . 7 cm oval-shaped right frontal vertex scalp lesion on image [date] is stable and probably sebaceous cyst or similar incidental benign finding .,size,numeric,numeric,,
decreased from 9 mm,descriptor,1,"residual intermediate to low density right frontoparietal subdural hematoma measuring up to 5 mm , decreased from 9 mm .",size,numeric,numeric,,
4.34 cm,descriptor,1,the area in the right frontal lobe shows an anterior-posterior dimension of as much as 6 . 3 cm with a medial to lateral dimension of 4 . 34 cm .,size,numeric,numeric,,
2.98 cm,descriptor,1,the area in the left occipital lobe measures as much as 2 . 9 cm anterior-posterior with a medial to lateral dimension of 2 . 98 cm .,size,numeric,numeric,,
6.7 x 8-0.6 cm,descriptor,1,"there is a large left frontal lobe parenchymal hematoma which measures 6 . 7 x 8-0 . 6 cm , image number 20 .",size,numeric,numeric,,
4.4 x 2.3 cm,descriptor,1,"low-attenuation lesion with partially calcified rim at the medial aspect of the right middle cranial fossa , 4 . 4 x 2 . 3 cm series 14 , image 52 , extending into posterior fossa , demonstrating slightly more calcification than on the previous exam .",size,numeric,numeric,,
3.4 x 1.8 cm,descriptor,1,brain : left posterior temporal lobe intraparenchymal hemorrhage measures approximately 3 . 4 x 1 . 8 cm in greatest axial dimensions and 2 . 3 cm in craniocaudal length .,size,numeric,numeric,,
greatest axial dimensions and 2.3 cm,descriptor,1,brain : left posterior temporal lobe intraparenchymal hemorrhage measures approximately 3 . 4 x 1 . 8 cm in greatest axial dimensions and 2 . 3 cm in craniocaudal length .,size,numeric,numeric,,
15 x 61 mm,descriptor,1,"the previously identified right middle cranial fossa epidural hematoma is increasing in size , now with cross-sectional measurements of 15 x 61 mm as compared with 8 x 39 mm previously .",size,numeric,numeric,,
8 x 39 mm,descriptor,1,"the previously identified right middle cranial fossa epidural hematoma is increasing in size , now with cross-sectional measurements of 15 x 61 mm as compared with 8 x 39 mm previously .",size,numeric,numeric,,
35.5 mm,descriptor,1,today's biventricular diameter measured at the confluence of the columns of the fornix is 35 . 5 mm as compared with 50 . 3 mm preoperatively .,size,numeric,numeric,,
50.3 mm,descriptor,1,today's biventricular diameter measured at the confluence of the columns of the fornix is 35 . 5 mm as compared with 50 . 3 mm preoperatively .,size,numeric,numeric,,
3 months postoperatively,descriptor,1,"there is less mass effect than was present on 07 / 24 / 2021 , but the fluid collections remain larger than one might expect 3 months postoperatively .",size,numeric,numeric,,
5.4 x 4.6 cm,descriptor,1,the hematoma on the left measures 5 . 4 x 4 . 6 cm in maximum dimensions on image number 10 and is causing 6 mm of midline shift to the right .,size,numeric,numeric,,
4.5 x 1.8 cm,descriptor,1,"there are two components to the hematoma on the right , measuring 4 . 5 x 1 . 8 cm in maximum combined dimensions on image #9 .",size,numeric,numeric,,
3.8 x 1.4 cm,descriptor,1,these include a lateral hematoma on the left measuring 3 . 8 x 1 . 4 cm in maximum dimensions on image #8 and and an anterior hematoma measuring 2 . 0 x 1 . 7 cm in maximum dimensions on image #7 .,size,numeric,numeric,,
0.8 x 0.5 cm,descriptor,1,an anterior temporal lobe hematoma on the right measures 1 . 2 x 0 . 9 cm in maximum dimensions on image #6 and there is a smaller anterior right temporal hematoma measuring 0 . 8 x 0 . 5 cm in maximum dimensions on image #5 .,size,numeric,numeric,,
deviated 7 mm,descriptor,1,the septum is deviated 7 mm to the right due to the craniectomy defect .,size,numeric,numeric,,
approximately 38 mm,descriptor,1,slight increase in dilatation of the lateral ventricles with biventricular diameter approximately 38 mm versus 35 mm previously .,size,numeric,numeric,,
2.3 x 3.4 cm,descriptor,1,"left-sided posterior parietal parenchymal hematoma shows stable size , measuring approximately 2 . 3 x 3 . 4 cm in greatest transverse dimensions .",size,numeric,numeric,,
56 x 51 by 31 mm,descriptor,1,maximal dimensions today are 56 x 51 by 31 mm .,size,numeric,numeric,,
measuring up to 21 mm,descriptor,1,"brain : decreased size and attenuation of mass within the right anterior basal ganglia measuring up to 21 mm , previously 27 mm on prior ct of head .",size,numeric,numeric,,
0.4 - 0.5 cm,descriptor,1,"punctate ( approximately 0 . 4 - 0 . 5 cm ) lipomas are noted scattered along the midline falx ( representative images 22 and 24 , series 3 ) , unchanged .",size,numeric,numeric,,
1.2 x 0.4 cm,descriptor,1,"yesterday , this measured 1 . 2 x 0 . 4 cm in maximum dimensions and currently measures 1 . 1 x 0 . 3 cm in maximum corresponding dimensions .",size,numeric,numeric,,
1.1 x 0.3 cm,descriptor,1,"yesterday , this measured 1 . 2 x 0 . 4 cm in maximum dimensions and currently measures 1 . 1 x 0 . 3 cm in maximum corresponding dimensions .",size,numeric,numeric,,
12 x 17 mm,descriptor,1,the largest lesion in the right medial parietal lobe measures 12 x 17 mm and is unchanged .,size,numeric,numeric,,
volume = 2.3 cm^3,descriptor,1,the right cerebellar hematoma measures approximately 2 . 3 x 1 . 9 x 1 . 0 cm ( volume = 2 . 3 cm^3 ) .,size,numeric,numeric,,
3.9 by 2.4 cm,descriptor,1,brain : hyperdense mass within the left basal ganglia measures 3 . 9 by 2 . 4 cm and is compatible with hemorrhagic stroke .,size,numeric,numeric,,
23 x 37 mm,descriptor,1,brain : right temporal lobe parenchymal hemorrhage measuring 23 x 37 mm .,size,numeric,numeric,,
3.6 x 0.7 cm,descriptor,1,"other : right frontal high attenuation soft tissue swelling measuring up to 3 . 6 x 0 . 7 cm , compatible with a scalp contusion / hematoma .",size,numeric,numeric,,
13 x 16 x 16 mm,descriptor,1,brain : enhancing mass lesion within the third ventricle measuring 13 x 16 x 16 mm .,size,numeric,numeric,,
2.5 cm diameter,descriptor,1,there is an approximately 2 . 5 cm diameter hypodensity in the calvarium of the high left posterior parietal lobe which is new since the prior study .,size,numeric,numeric,,
ap x 43mm wide,descriptor,1,resolution previous right superior scalp hematoma seen since prior study . 7 mm ap x 43mm wide isointense with cortex focus is seen at the right frontal temporal subarachnoid space ( axial image 17 ) with no significant associated mass effect .,size,numeric,numeric,,
8.0 x 5.2 cm,descriptor,1,"the overlying soft tissues show a fluid collection measuring 8 . 0 x 5 . 2 cm , previously 9 . 4 by 6 . 7 cm .",size,numeric,numeric,,
previously measured 8.8 mm,descriptor,1,the third ventricle currently measures 11 . 4 mm in width and previously measured 8 . 8 mm in corresponding width .,size,numeric,numeric,,
previously measuring 6.0 mm,descriptor,1,"the left lateral subdural hematoma is significantly smaller , currently measuring 3 . 5 mm in maximum thickness and previously measuring 6 . 0 mm in thickness .",size,numeric,numeric,,
6.0 mm in thickness,descriptor,1,"the left lateral subdural hematoma is significantly smaller , currently measuring 3 . 5 mm in maximum thickness and previously measuring 6 . 0 mm in thickness .",size,numeric,numeric,,
60 x 30 x 36 mm,descriptor,1,overall dimensions are 60 x 30 x 36 mm .,size,numeric,numeric,,
30 x 31 mm,descriptor,1,30 x 31 mm cross-section hyperdense suprasellar mass originates within the sella turcica and is consistent with a pituitary macroadenoma .,size,numeric,numeric,,
1.8 mm,descriptor,1,mild bilateral maxillary sinus mucosal thickening with a maximum thickness of 3 . 1 mm on the left and 1 . 8 mm on the right .,size,numeric,numeric,,
6.7 x 1.8 cm,descriptor,1,"area of heterogeneous density seen subjacent to and overlying right craniotomy measures 6 . 7 x 1 . 8 cm ( series 2 , image 29 ) .",size,numeric,numeric,,
20.8 mm,descriptor,1,maximal thickness 20 . 8 mm similar to the prior exam .,size,numeric,numeric,,
4.5 x 5.6 cm,descriptor,1,"other : large left parotid mass partially visualized , measuring up to 4 . 5 x 5 . 6 cm , stable .",size,numeric,numeric,,
82 cm,descriptor,1,atherosclerotic calcifications are present in the cavernous internal carotid arteries bilaterally is well is the dural margin of the vertebral arteries . 82 cm hyperdense dural-based mass is associated with the superior sagittal sinus on the left .,size,numeric,numeric,,
4.1 by 3.7 cm,descriptor,1,"there is underlying encephalomalacia with a resection cavity again seen measuring 4 . 1 by 3 . 7 cm , not markedly changed .",size,numeric,numeric,,
4.8 x 3.7 cm,descriptor,1,"4 . 8 x 3 . 7 cm right thalamic / basal ganglia intraparenchymal hematoma is relatively unchanged in size , morphology and density .",size,numeric,numeric,,
19 x 8 mm,descriptor,1,"an enhancing mass lesion along the medial aspect of the left orbit is new , measuring 19 x 8 mm .",size,numeric,numeric,,
previously 8 mm in thickness,descriptor,1,this measures 7 mm in thickness over the right frontal region ( previously 8 mm in thickness ) .,size,numeric,numeric,,
approximately 1.97 cm,descriptor,1,there is a poorly defined area of low attenuation in the right frontoparietal region which appears to be unchanged and measures approximately 1 . 97 cm .,size,numeric,numeric,,
1.97 cm,descriptor,1,there is a poorly defined area of low attenuation in the right frontoparietal region which appears to be unchanged and measures approximately 1 . 97 cm .,size,numeric,numeric,,
1.8 x 2.6 cm,descriptor,1,intraparenchymal hemorrhage is seen right parietal lobe measuring 1 . 8 x 2 . 6 cm .,size,numeric,numeric,,
10 x 17 x 11 mm,descriptor,1,a posterior medial lesion in the right orbit measures 10 x 17 x 11 mm .,size,numeric,numeric,,
7 x 11 x 17 mm,descriptor,1,this lesion measures 7 x 11 x 17 mm .,size,numeric,numeric,,
volume = 15 cm^3,descriptor,1,"brain : interval development of hypoattenuation within the high paramedian right parietal lobe with loss of gray-white differentiation compatible with acute infarction measuring 3 . 6 x 2 . 2 x 3 . 6 cm ( volume = 15 cm^3 ) ( ap x ml x cc series 3 , image 26 and series 5 , image 54 ) .",size,numeric,numeric,,
maximal thickness of 1.2 cm,descriptor,1,remaining left-sided subdural collection with maximal thickness of 1 . 2 cm versus prior 1 . 6 cm .,size,numeric,numeric,,
prior 1.6 cm,descriptor,1,remaining left-sided subdural collection with maximal thickness of 1 . 2 cm versus prior 1 . 6 cm .,size,numeric,numeric,,
1.4 x 0.4 cm,descriptor,1,the previously noted lipoma just anterior to the left mid frontal bone measuring 1 . 4 x 0 . 4 cm in size is stable .,size,numeric,numeric,,
3.8 x 4.3 cm,descriptor,1,hematoma measures about 3 . 8 x 4 . 3 cm today compared 3 . 8 x 4 . 6 cm on the previous study .,size,numeric,numeric,,
3.8 x 4.6 cm,descriptor,1,hematoma measures about 3 . 8 x 4 . 3 cm today compared 3 . 8 x 4 . 6 cm on the previous study .,size,numeric,numeric,,
volume = 9.9 cm^3,descriptor,1,"brain : acute hemorrhage centered within the third ventricle measuring 3 . 2 x 2 . 1 x 2 . 8 cm ( volume = 9 . 9 cm^3 ) ( ap x ml x cc series 4 , image 11 and series 5 , image 31 ) .",size,numeric,numeric,,
13 x 7 x 13 mm,descriptor,1,"calcified extra-axial mass at floor of right posterior fossa , 13 x 7 x 13 mm likely calcified meningioma , unchanged no intracranial hemorrhage , additional mass lesion , evidence of acute infarction , or extra-axial fluid collection .",size,numeric,numeric,,
sequela of small vessel ischemia.2 cm,descriptor,1,"mild periventricular white matter changes are present likely reflecting the sequela of small vessel ischemia . 2 cm partially calcified mass along the a right tentorium is unchanged from prior examination , compatible with a meningioma .",size,numeric,numeric,,
28 x 18 mm,descriptor,1,pontine hemorrhage is slightly larger on today's study measuring 28 x 18 mm .,size,numeric,numeric,,
1.4 x 2.3 cm,descriptor,1,a 1 . 4 x 2 . 3 cm suprasellar mass appears relatively unchanged since 5 / 9 / 2012 .,size,numeric,numeric,,
2.8 x 3.4 cm,descriptor,1,"evolving left periatrial hematoma measuring 2 . 8 x 3 . 4 cm , previously 2 . 7 x 3 . 8 cm .",size,numeric,numeric,,
2.7 x 3.8 cm,descriptor,1,"evolving left periatrial hematoma measuring 2 . 8 x 3 . 4 cm , previously 2 . 7 x 3 . 8 cm .",size,numeric,numeric,,
4 mm mm,descriptor,1,small 4 mm mm ossific structure posterior to the right internal auditory canal possibly a tiny ossified meningioma unchanged .,size,numeric,numeric,,
15 x 16 mm,descriptor,1,mildly dense extra-axial subfrontal mass measuring 15 x 16 mm consistent with meningioma .,size,numeric,numeric,,
increased from 7 mm,descriptor,1,"brain : persistent extra-axial fluid collection overlying the right cerebral hemisphere measuring up to 10 mm in thickness ( increased from 7 mm on the prior study ) , now with increased crowding of underlying sulci and increasing right to left midline shift which now up to 5 mm .",size,numeric,numeric,,
75 x 24 x 46 millimeters,descriptor,1,"brain : heterogeneously hyperdense , crescent-shaped and lobulated intra-axial hemorrhage centered in the right medial right parietal lobe encompasses 75 x 24 x 46 millimeters ( ap by transverse by cc ) for an estimated intra-axial blood volume 41 milliliters .",size,numeric,numeric,,
approximate volume of 14 ml,descriptor,1,brain : an acute hemorrhage centered in the right thalamus measures 3 . 6 x 2 . 8 x 2 . 7 cm ( approximate volume of 14 ml ) .,size,numeric,numeric,,
2.4 by 1.1 cm,descriptor,1,"other : chronic partially calcified subcortical lesion along the posterior scalp just the left of midline measuring 2 . 4 by 1 . 1 cm on image 59 / 4 , probably a chronic sebaceous cyst or similar benign lesion .",size,numeric,numeric,,
5.3 by 4.2 cm,descriptor,1,the visible portion on today's exam measures up to 5 . 3 by 4 . 2 cm .,size,numeric,numeric,,
5.8 x 4.0 cm,descriptor,1,right parietal hematoma unchanged in size measuring approximately 5 . 8 x 4 . 0 cm .,size,numeric,numeric,,
18-20 mm,descriptor,1,"residual mixed density and now partially gas containing subdural hematomas measure 15 mm in thickness bilaterally , versus 18-20 mm yesterday .",size,numeric,numeric,,
18-20 mm yesterday,descriptor,1,"residual mixed density and now partially gas containing subdural hematomas measure 15 mm in thickness bilaterally , versus 18-20 mm yesterday .",size,numeric,numeric,,
4.6 mm in diameter,descriptor,1,"prominent basilar tip 4 . 6 mm in diameter , unchanged since an earlier study of 5 / 10 / 1991 .",size,numeric,numeric,,
maximal thickness of 12.6 mm,descriptor,1,maximal thickness 14 . 5 mm posteriorly and superiorly with maximal thickness of 12 . 6 mm anteriorly .,size,numeric,numeric,,
9 x 7 x 5 mm,descriptor,1,small partially calcified mass left parafalcine at the posterior parietal region question tiny meningioma 9 x 7 x 5 mm .,size,numeric,numeric,,
59 by 53 by 47 millimeters,descriptor,1,brain : there is a large area of heterogeneously hyperdense hemorrhage in the anterior right frontal lobe encompassing 59 by 53 by 47 millimeters ( ap by transverse by cc ) for an estimated blood volume of 73 milliliters .,size,numeric,numeric,,
73 milliliters,descriptor,1,brain : there is a large area of heterogeneously hyperdense hemorrhage in the anterior right frontal lobe encompassing 59 by 53 by 47 millimeters ( ap by transverse by cc ) for an estimated blood volume of 73 milliliters .,size,numeric,numeric,,
36 x 24 x 28 mm,descriptor,1,"brain : anterior and inferior right frontal parenchymal hemorrhage is stable to slightly decreased in size , up to 36 x 24 x 28 mm .",size,numeric,numeric,,
14 and 12 mm,descriptor,1,this compares to 14 and 12 mm respectively on the prior study .,size,numeric,numeric,,
8.3 x 5.2 cm,descriptor,1,there is has maximal transverse dimension of 8 . 3 x 5 . 2 cm causing midline shift to the right by 1 . 5 cm .,size,numeric,numeric,,
2 x 2.1 cm,descriptor,1,redemonstration a hypoattenuating pineal cyst which measures 2 x 2 . 1 cm in size .,size,numeric,numeric,,
15-16 mm,descriptor,1,"brain : when measured in the coronal plane , bilateral mixed density subdural hematomas are unchanged with thickness of 15-16 mm on each side .",size,numeric,numeric,,
25 millimeters,descriptor,1,right frontal convexity hematoma measures up to 25 millimeters in thickness .,size,numeric,numeric,,
26 millimeters,descriptor,1,left convexity hematoma measures up to 26 millimeters .,size,numeric,numeric,,
5.5 mm in thickness,descriptor,1,"interval partial inclusion of the maxillary sinuses with bilateral maxillary sinus mucosal thickening demonstrated , measuring 5 . 5 mm in thickness on the left and 5 . 2 mm in thickness on the right .",size,numeric,numeric,,
