Entity,Entity Type,Count,Mapped Entity,Similarity
bone flap,anatomy,44,Irregular bone,0.612036725444322
medial left frontal lobe,anatomy,44,Left frontal lobe,0.8776323395284698
left ventricle,anatomy,44,Left lateral ventricle,0.7401031698877304
biventricular,anatomy,44,Third ventricle,0.4818375408785007
deep soft tissue spaces,anatomy,44,Anatomical compartment space,0.7672956027358704
right anterior frontal lobe,anatomy,44,Right frontal lobe,0.9462211078343596
pca territory,anatomy,44,Area postrema,0.4681991980477642
posterior vertex,anatomy,44,Crown of head,0.6711156706374501
cerebellar tonsillar,anatomy,44,Cerebellar medulla,0.7290267312929853
adjacent white matter,anatomy,44,Segment of white matter of neuraxis,0.8706952098326934
posterior right parietal lobe,anatomy,43,Right parietal lobe,0.9093774348612897
mediastinal contour,anatomy,43,Content of superior mediastinum,0.5741167249576917
bilateral carotid siphons,anatomy,43,Left carotid siphon,0.8685468548116702
bilateral occipital lobes,anatomy,43,Left occipital lobe,0.8516245082444778
lamina papyracea,anatomy,43,Lamina propria,0.675991417591206
both hemispheres,anatomy,43,Cerebral hemisphere,0.827337716068024
intra-parenchymal,anatomy,43,Organ segment,0.5435327563356881
right mastoids,anatomy,43,Right mastoid process,0.9409187035139727
caudate nucleus,anatomy,43,Sublentiform nucleus,0.7346669381397656
left nasal cavity,anatomy,43,Left nasal cavity,0.9942789128245579
larynx,anatomy,43,Epiglottis,0.8243847733068868
salivary glands,anatomy,43,Set of major salivary glands,0.932120888338131
thyroid,anatomy,43,Superior thyroid artery,0.6755114909893901
right suboccipital,anatomy,43,Right occipitalis,0.7753442389333671
ostiomeatal units,anatomy,43,Set of auditory ossicles,0.585554574850791
atrium of the left lateral ventricle,anatomy,42,Atrium of left lateral ventricle,0.9570256958747553
right frontotemporal region,anatomy,42,Right frontomarginal gyrus,0.7834782204432426
sphenoid sinus air cells,anatomy,42,Sphenoidal sinus,0.6736530421423563
lung,anatomy,42,Lobular organ,0.5274835676381187
left periventricular,anatomy,42,Left lateral ventricle,0.7420937501765641
bilateral ethmoid,anatomy,42,Ethmoid,0.8767221592109631
nasopharyngeal,anatomy,42,Nasopharynx,0.9357308249655548
right internal carotid artery,anatomy,42,Right internal carotid artery,0.9712959108874416
high right frontal,anatomy,42,Right side of frontal bone,0.7171672464661227
left mastoid sinus,anatomy,42,Left mastoid antrum,0.8964181220974725
visualized face,anatomy,42,Face,0.7254617894732456
body of the left lateral ventricle,anatomy,42,Body of left lateral ventricle,0.9697412700239395
ventricles system,anatomy,42,Ventricular system of brain,0.8197131726942172
inferior left frontal sinus,anatomy,41,Left frontal sinus,0.9045183947251684
atria,anatomy,41,Right foramen ovale,0.6244096675524183
left tentorial,anatomy,41,Left thalamus,0.6739224089095149
pulmonary vascularity,anatomy,41,Vasculature of nose,0.4913551959133662
bilateral frontal lobe,anatomy,41,Left frontal lobe,0.9147615635159938
posterior right parietal,anatomy,41,Right parietal part of head,0.785553426160475
craniocervical junction,anatomy,41,Craniocervical region,0.7936088715090948
medial right orbital wall,anatomy,41,Medial wall of right orbit,0.9402158307310629
adjacent sulci,anatomy,41,Central sulcus,0.846289122001985
sphenoid air cells,anatomy,41,Left anterior ethmoidal cell,0.6651481346940391
surgical bed,anatomy,41,Anatomical compartment space,0.5242825507848846
inferior right maxillary antrum,anatomy,41,Right maxillary sinus,0.8106190502199618
orbital floor,anatomy,41,Floor of left orbit,0.855151714113819
left frontal operculum,anatomy,41,Left frontomarginal gyrus,0.7902473208040287
visualized orbit soft tissues,anatomy,41,Orbital content,0.6555186643995274
pituitary gland,anatomy,40,Hypothalamus,0.8508199372899127
right transverse sinus,anatomy,40,Right transverse sinus,0.996551490517422
ethmoidal sinuses,anatomy,40,Ethmoidal sinus,0.9922569935312527
inferior left mastoid air cells,anatomy,40,Mastoid air cell of left temporal bone,0.8493980038420464
anterior frontal lobes,anatomy,40,Frontal lobe,0.9534040609636273
occipital regions,anatomy,40,Occipital part of head,0.8931230038252344
bilateral occipital,anatomy,40,Left occipitalis,0.7622031697538777
medulla,anatomy,40,Medulla oblongata,0.7745161637982192
biventricular diameter,anatomy,40,Right lateral ventricle,0.42749858388838535
left middle cerebral artery distribution,anatomy,40,Left middle cerebral artery,0.9629142653883956
left middle ear cavity,anatomy,40,Left middle ear,0.9242996841921841
bilateral maxillary sinus,anatomy,40,Left maxillary sinus,0.9068101306686073
right frontal cortical,anatomy,40,Cortex of right frontal lobe,0.9038189218975847
left posterior frontal lobe,anatomy,40,Left frontal lobe,0.9266688243956352
temporal region,anatomy,40,Temporal part of head,0.8952465380890104
lateral,anatomy,39,Lateral half of face,0.6276438586030881
right frontoparietal scalp,anatomy,39,Right parietal zone of scalp,0.8081047589441126
left parieto-occipital region,anatomy,39,Left parieto-occipital sulcus,0.7968184783013593
cavernous internal carotid artery,anatomy,39,Cavernous branch of internal carotid artery,0.9420507387299626
left posterior temporal,anatomy,39,Left temporal part of head,0.869833214229688
posterior left parietal,anatomy,39,Left parietal part of head,0.7727646144595006
inferior right cerebellum,anatomy,39,Right hemisphere of cerebellum,0.8656080664150093
left sphenoid sinuses,anatomy,39,Left sphenoidal sinus,0.983271862786096
left temporomandibular,anatomy,39,Left temporomandibular joint,0.848979942347131
left parietal cortex,anatomy,39,Cortex of left parietal lobe,0.9136886271474278
lymph nodes,anatomy,39,Primary nodular lymphoid tissue,0.6728098424505594
intracranially,anatomy,39,Cranial cavity,0.8181263874029776
right pca distribution,anatomy,39,Posteromedial central branch of right posterior cerebral artery,0.541196545314235
carotid vascular,anatomy,39,Internal carotid artery,0.8529593338966315
basal ganglia regions,anatomy,39,Nucleus of brain,0.7071321223922701
left eye,anatomy,39,Left eye,0.9987846947023846
anterior right ethmoid air cells,anatomy,38,Right anterior ethmoidal cell,0.9078540906578844
left insular cortex,anatomy,38,Left insula,0.8031841832453521
medial left orbital wall,anatomy,38,Medial wall of left orbit,0.9421136013883156
left tympanic cavity,anatomy,38,Left tegmen tympani,0.8478309064055032
right eye,anatomy,38,Right eye,0.9974998582696848
right inferior frontal lobe,anatomy,38,Right frontal lobe,0.9314569882202409
bilateral cerebral hemispheres,anatomy,38,Cerebral hemisphere,0.8464945569546801
vermis,anatomy,38,Vermis of cerebellum,0.774324453634548
right posterior temporal lobe,anatomy,38,Right temporal lobe,0.9286878152505434
right side of the sphenoid sinus,anatomy,38,Right sphenoidal sinus,0.9129421061584918
right frontal cortex,anatomy,38,Right frontal lobe,0.9508831060132246
body of the right lateral ventricle,anatomy,38,Body of right lateral ventricle,0.956488172433764
oropharynx,anatomy,38,Oropharynx,0.9966720450399879
anterior limb left internal capsule,anatomy,38,Capsule of left lens,0.6742569369686555
right temporal tip,anatomy,38,Temple region of right temporal part of head,0.7343823447981319
bilateral thalamic,anatomy,38,Left thalamus,0.8875472931457169
gray-white matter junction,anatomy,38,Gray matter of midbrain,0.6880034390907537
bilateral vertebral artery,anatomy,38,Left vertebral artery,0.9140836788192784
right superior frontal gyrus,anatomy,37,Right superior frontal gyrus,0.9899091718837909
medial wall of the right orbit,anatomy,37,Medial wall of right orbit,0.9769333751653143
right periventricular,anatomy,37,Right lateral ventricle,0.7538960794109544
bilateral mastoids,anatomy,37,Right mastoid process,0.8103514673247838
medial right frontal lobe,anatomy,37,Right frontal lobe,0.9130236896631587
territory,anatomy,37,Zone of continuity,0.4916874811182457
suprasellar region,anatomy,37,Suprasellar part of cranial cavity,0.8234204317619098
floor,anatomy,37,Floor of mouth,0.5496349869438191
posterior nasopharynx,anatomy,37,Nasopharynx,0.8674248569077829
subependymal,anatomy,37,Epithalamus,0.7234311914788825
left side of the sphenoid sinus,anatomy,37,Left sphenoidal sinus,0.9297126320360672
mca distribution,anatomy,37,Capsule,0.4785268971088579
bilateral ethmoidal air cells,anatomy,37,Left anterior ethmoidal cell,0.8248762816424504
right ethmoid sinuses,anatomy,37,Right ethmoidal sinus,0.9699011995062444
arteries,anatomy,37,Systemic artery,0.833593649360152
anterior limb of the internal capsule,anatomy,37,Capsule of anterior lens,0.6128535833822897
left frontal skull,anatomy,37,Left side of frontal bone,0.8738266945623722
frontoparietal region,anatomy,37,Prefrontal cortex,0.7334210038375216
cerebral aqueduct,anatomy,37,Cerebral aqueduct,0.9897180489927392
basal gangliar,anatomy,37,Nucleus of brain,0.703949727710973
anterior ethmoid,anatomy,37,Ethmoid,0.9242999083291468
right temporomandibular,anatomy,37,Right temporomandibular joint,0.8319572911598807
right subdural,anatomy,36,Right cerebral hemisphere segment of dura mater,0.7560931840588392
left temporoparietal region,anatomy,36,Left temporoparietalis,0.8147167466542715
temporomandibular joint,anatomy,36,Temporomandibular joint,0.9680435396618772
central skull base,anatomy,36,Neurocranium,0.7805227581285133
right frontal parietal region,anatomy,36,Right parietal part of head,0.8180168441707377
extraaxial space,anatomy,36,Anatomical compartment space,0.7258694919994026
left posterior temporal lobe,anatomy,36,Left temporal lobe,0.9032099503206549
posterior left parietal lobe,anatomy,36,Left parietal lobe,0.868742192152396
frontal operculum,anatomy,36,Frontomarginal gyrus,0.7607071274747198
left calvarium,anatomy,36,Calvarium,0.7787139194794465
left internal carotid artery,anatomy,36,Left internal carotid artery,0.9471118459988783
right frontoparietal lobe,anatomy,36,Right frontomarginal gyrus,0.8078100166857106
left mastoid air cell,anatomy,36,Mastoid air cell of left temporal bone,0.9328823627507182
bony orbits,anatomy,36,Orbital compartment,0.7904047823822904
cerebellar vermis,anatomy,36,Vermis of cerebellum,0.9112195174196991
left frontotemporal region,anatomy,36,Left frontomarginal gyrus,0.7737534314329834
right middle ear cavity,anatomy,36,Right middle ear,0.9140498787042665
cavernous carotid artery,anatomy,35,Cavernous branch of internal carotid artery,0.8935682653036351
supra,anatomy,35,Precuneus,0.4803931056316606
infratentorium,anatomy,35,Habenula,0.4272478922321876
insular region,anatomy,35,Intermediate hypothalamic region,0.6914390837473048
left uncal,anatomy,35,Left uncal artery,0.728743069797716
medial left temporal lobe,anatomy,35,Left temporal lobe,0.8673959300381939
visualized bony structures,anatomy,35,Irregular bone,0.648794278444021
parietal scalp,anatomy,35,Parietal zone of scalp,0.8955875967159408
right inferior cerebellar,anatomy,35,Right hemisphere of cerebellum,0.8301320628128733
right basal ganglial,anatomy,35,Right thalamus,0.750548365679829
inferior frontal sinus,anatomy,35,Frontal sinus,0.8930777508984016
left ethmoid sinuses,anatomy,35,Left ethmoidal sinus,0.9781620989254977
endotracheal,anatomy,35,Mucosa of respiratory tract,0.5038939812108565
mid brain,anatomy,35,Brain,0.8553480577776056
frontoparietal,anatomy,35,Frontal lobe,0.6656982784806775
superior ophthalmic veins,anatomy,35,Superior ophthalmic vein,0.9865903663940643
left posterior,anatomy,35,Posterior pole of left eyeball,0.6471646139586745
medial orbital wall,anatomy,35,Medial wall of left orbit,0.8944222306517526
midline frontal scalp,anatomy,34,Frontal zone of scalp,0.6750064307196021
both maxillary antra,anatomy,34,Left maxillary sinus,0.776058173740756
craniocervical relationship,anatomy,34,Set of joints of head,0.6132913337216921
right parieto-occipital region,anatomy,34,Right parieto-occipital sulcus,0.7962530068541335
left facial,anatomy,34,Left side of face,0.8963213819878162
cavernous sinuses,anatomy,34,Cavernous sinus,0.9573338488041641
left occipital pole,anatomy,34,Left occipital pole,0.9929344968851315
right uncal,anatomy,34,Right uncal artery,0.7393285222120015
left parietal cortical,anatomy,34,Cortex of left parietal lobe,0.8498756191906854
left basal ganglia region,anatomy,34,Left thalamus,0.7465805097658005
anterior cranial fossa,anatomy,34,Zone of cranial cavity,0.8229928069390733
leptomeningeal,anatomy,34,Leptomeningeal sac,0.830296750118786
medial wall of the left orbit,anatomy,34,Medial wall of left orbit,0.980159366490193
right maxilla,anatomy,34,Right maxilla,0.9920560911061099
right mastoid tip,anatomy,34,Right mastoid process,0.836089742651236
nose,anatomy,34,Nose,0.999147572464902
right supraorbital region,anatomy,34,Right peri-orbital region of face,0.8526991755177611
inferior left maxillary sinus,anatomy,34,Left maxillary sinus,0.8859372394692886
adjacent left lateral ventricle,anatomy,33,Left lateral ventricle,0.9471428028198595
craniotomy flap,anatomy,33,Neurocranium,0.5923849761593105
cerebellar parenchyma,anatomy,33,Cerebellar cortex,0.8636709690104556
right lateral ventricles,anatomy,33,Right lateral ventricle,0.972580935205723
left ocular,anatomy,33,Left eye,0.9724499495352146
inferior left cerebellum,anatomy,33,Left hemisphere of cerebellum,0.8321319952068954
lower right mastoid air cells,anatomy,33,Mastoid air cell of right temporal bone,0.8766730246207698
tmj,anatomy,33,Temporomandibular joint,0.7965881226021972
bilateral periventricular white matter,anatomy,33,White matter of left cerebral hemisphere,0.7057152927837516
supraorbital,anatomy,33,Supra-orbital part of frontal bone,0.5956721590905637
left frontoparietal scalp,anatomy,33,Left parietal zone of scalp,0.8249486173723016
operative bed,anatomy,33,Anatomical compartment space,0.5123896661561703
left globus pallidus,anatomy,33,Left thalamus,0.7078281879644741
facet,anatomy,33,Midface,0.5649986452483152
right insular cortex,anatomy,33,Right insula,0.7914326130807197
left frontal periventricular white matter,anatomy,33,White matter of left frontal lobe,0.804773632602382
left lateral,anatomy,33,Left lateral sulcus,0.6512617816538887
left temporal tip,anatomy,33,Left temporal part of head,0.7257044778891207
medial wall right orbit,anatomy,33,Medial wall of right orbit,0.9549136223930106
dentition,anatomy,33,Dentition,0.9930182767844856
left frontal cortex,anatomy,33,Left frontal lobe,0.9447456297479531
lateral masses,anatomy,33,Lens fiber mass,0.5654112006590128
basilar perforator distribution,anatomy,32,Bony part of frontal bone,0.6506520131493664
basilar arteries,anatomy,32,Basilar artery,0.9877335344497058
inferior left basal ganglia,anatomy,32,Left thalamus,0.6811971116088686
right lateral convexity,anatomy,32,Right lateral sulcus,0.6753637560439593
left mastoid tip,anatomy,32,Left mastoid process,0.8230164349629988
straight sinus,anatomy,32,Straight sinus,0.9945300513408195
posterior horn of the left lateral ventricle,anatomy,32,Body of left lateral ventricle,0.8264026708265362
anterior parietal lobe,anatomy,32,Parietal lobe,0.8886642398434875
spleen,anatomy,32,Pharyngeal tonsil,0.5492386508199117
lower left mastoid air cells,anatomy,32,Mastoid air cell of left temporal bone,0.8436760816789136
intraconal,anatomy,32,Organ cavity,0.42702702544686155
posterior frontal lobe,anatomy,32,Frontal lobe,0.9297922851623465
left parietal calvarium,anatomy,32,Left parietal bone,0.8352722256214271
left midbrain,anatomy,32,Left side of midbrain,0.9606135088750933
medial wall left orbit,anatomy,32,Medial wall of left orbit,0.9516925271065282
optic nerve,anatomy,32,Optic nerve,0.993308712819065
left side of the pons,anatomy,32,Gray matter of pons,0.6851799446500821
internal carotid arterial,anatomy,32,Internal carotid artery,0.9694683557132228
insular,anatomy,31,Limbic system,0.48586606299428636
carotid siphon skull,anatomy,31,Left carotid siphon,0.8162843755976474
base the brain,anatomy,31,Brain,0.8860305179315765
sinus wall,anatomy,31,Paranasal sinus,0.6798114804476192
anterior frontal,anatomy,31,Frontal crest,0.7908169193360642
right posterior temporal,anatomy,31,Right temporal part of head,0.8581530676175267
posterior left frontal,anatomy,31,Left frontal pole,0.8248985346159147
left basal ganglial,anatomy,31,Left thalamus,0.7444425351222487
right side of sphenoid sinus,anatomy,31,Right sphenoidal sinus,0.918657087538958
supraorbital scalp,anatomy,31,Subdivision of scalp,0.6851914621072555
visualized maxillary sinuses,anatomy,31,Maxillary sinus,0.7285625893153869
ventricular volumes,anatomy,31,Inferior ventricular vein,0.5656745965367116
3rd ventricle,anatomy,31,Third ventricle,0.9461781297501609
pineal,anatomy,31,Pineal body,0.8058525820633003
interhemispheric falx,anatomy,31,Falx cerebri,0.6754826681419341
pancreas,anatomy,31,Lobular organ,0.5963572390436791
gray / white differentiation,anatomy,31,Reticular formation,0.4954286187188848
torcula,anatomy,31,Temporoparietalis,0.6637536616019516
left transverse sinus,anatomy,31,Left transverse sinus,0.9933650867569728
supraorbital region,anatomy,31,Peri-orbital region of face,0.7810644700337596
tympanic cavity,anatomy,31,Tympanic cavity,0.9887945375651653
left anterior frontal region,anatomy,31,Left frontal pole,0.8373911342287169
right tentorial,anatomy,31,Right thalamus,0.6636867136455648
aorta,anatomy,31,Systemic arterial trunk,0.7608596028783033
gray-white matter interface,anatomy,31,Gray matter of midbrain,0.7212298385873833
aca territory,anatomy,31,Marginal sulcus,0.33574969288613654
mid pons,anatomy,30,Pons,0.8549253256342746
anterior temporal lobe,anatomy,30,Temporal lobe,0.9208106890287233
paravertebral,anatomy,30,Left posterior spinal artery,0.5576880953967415
mandibles,anatomy,30,Mandible,0.9648233216592964
posterior left ethmoid air cells,anatomy,30,Left posterior ethmoidal cell,0.8985250128542147
bilateral occipital lobe,anatomy,30,Left occipital lobe,0.8579700212576431
right pterional,anatomy,30,Right foramen rotundum,0.5974032582973733
posterior left parietal region,anatomy,30,Left parietal part of head,0.7999380021621807
sigmoid sinuses,anatomy,30,Sigmoid sinus,0.9649854677493489
left temporal parietal,anatomy,30,Temporal process of left parietal bone,0.8181698305279707
left carotid siphon,anatomy,30,Left carotid siphon,0.9456431733278315
right superior cerebellum,anatomy,30,Right hemisphere of cerebellum,0.8926674678098732
deep white matter capsules,anatomy,30,White matter of neuraxis,0.6709762838128752
posterior temporal lobe,anatomy,30,Temporal lobe,0.9043119059031375
left temporoparietal lobe,anatomy,30,Left parietal lobe,0.7688719464941317
anterior right thalamus,anatomy,30,Right thalamus,0.912346722266715
bilateral lateral ventricles,anatomy,30,Left lateral ventricle,0.8490257758828571
left temporomandibular joint,anatomy,30,Left temporomandibular joint,0.9657821854199117
right holo hemispheric,anatomy,30,Right half of hypothalamus,0.6519966253951316
preseptal,anatomy,30,Pretectal region,0.49309680836027026
right cavernous sinus,anatomy,30,Right cavernous sinus,0.9971524665038741
carotid artery siphons,anatomy,30,Carotid siphon,0.8933567159764261
left subdural,anatomy,30,Subdural space,0.7790425815561699
right occipital pole,anatomy,30,Right occipital pole,0.9416242425421226
left pterional,anatomy,30,Left arcuate eminence,0.5886625482277935
inferior frontal,anatomy,29,Zone of frontal bone,0.7602879727660146
left parietal white matter,anatomy,29,White matter of left parietal lobe,0.8313763939207482
major vascular distribution,anatomy,29,Systemic artery,0.7043836781532058
left lateral ventricles,anatomy,29,Left lateral ventricle,0.9330866319405619
skin,anatomy,29,Segment of skin,0.8616059803421185
left cavernous sinus,anatomy,29,Left cavernous sinus,0.9882848246019759
inferior right maxillary sinus,anatomy,29,Right maxillary sinus,0.8630434924074573
left frontotemporal scalp,anatomy,29,Left parietal zone of scalp,0.8182655762492346
left occipital lobes,anatomy,29,Left occipital lobe,0.9437776403269054
mediastinal,anatomy,29,Content of superior mediastinum,0.8368702471336859
anterior circulation,anatomy,29,Superior anastomotic vein,0.6211163441120965
adjacent right lateral ventricle,anatomy,29,Right lateral ventricle,0.9490437087052936
posterior right mca territory,anatomy,29,Right posterior subcentral sulcus,0.6391596878404917
fissures,anatomy,29,Longitudinal fissure,0.7741800566141569
cavernous segment of the internal carotid arteries,anatomy,29,Cavernous branch of internal carotid artery,0.9554659373993549
globes orbital soft tissues,anatomy,29,Fascial sheath of eyeball,0.8111674786906775
periventricular white matter regions,anatomy,29,Segment of white matter of neuraxis,0.8130145262705957
left suboccipital,anatomy,29,Left occipitalis,0.7812005004091545
right ica,anatomy,29,Right insular artery,0.7201680198318666
right basal ganglia region,anatomy,29,Right thalamus,0.755930272856496
intraorbital soft tissues,anatomy,29,Superficial fascia of orbital part of face,0.6883908069399547
ostiomeatal complexes,anatomy,29,Set of auditory ossicles,0.6665546336164252
left posterior convexity,anatomy,29,Left posterior marginal sulcus,0.5964714124958875
temporal tips,anatomy,29,External acoustic tube,0.6397020796594366
both sphenoid sinuses,anatomy,29,Left sphenoidal sinus,0.8674776760359373
mesial temporal lobe,anatomy,29,Temporal lobe,0.8599551180025795
anterior limb right internal capsule,anatomy,29,Capsule of right lens,0.6881804630227318
right temporal parietal,anatomy,29,Temporal process of right parietal bone,0.8154470541244093
high left frontal,anatomy,29,Frontal crest,0.7077120778121989
c1-c2,anatomy,29,Craniocervical region,0.6217081478707978
left maxilla,anatomy,29,Left maxilla,0.9968799103445656
left frontal cortical,anatomy,28,Cortex of left frontal lobe,0.8995062723027094
right frontal periventricular white matter,anatomy,28,White matter of right frontal lobe,0.7980691050119715
bony nasal septum,anatomy,28,Skeleton of nasal septum,0.9292089797623729
parietal white matter,anatomy,28,White matter of parietal lobe,0.8589064895282829
left anterior temporal lobe,anatomy,28,Left temporal lobe,0.9393318441442328
caudate nuclei,anatomy,28,Linear nucleus,0.7422996751451095
posterior limb of the internal capsule,anatomy,28,Capsule of posterior lens,0.687229976778161
left medial orbital,anatomy,28,Medial wall of left orbit,0.8523952932792639
posterior frontal region,anatomy,28,Frontal part of head,0.8202644932847317
left ear,anatomy,28,Left ear,0.9963714750651465
high left parietal region,anatomy,28,Left parietal part of head,0.8018057236663458
inferior right frontal sinus,anatomy,28,Right frontal sinus,0.9198152462658343
midline fourth ventricle basal cisterns,anatomy,28,Cavity of fourth ventricle,0.7796380082066572
underlying skull,anatomy,28,Skull,0.8893915104520941
sigmoid sinus,anatomy,28,Sigmoid sinus,0.9965512068913511
subdural hematomas,anatomy,28,Subdural space,0.5801824834948929
anterior left ethmoid air cells,anatomy,28,Left anterior ethmoidal cell,0.907503934496816
left middle cerebral artery territory,anatomy,28,Zone of middle cerebral artery,0.902449041982744
right posterior,anatomy,28,Posterior pole of right eyeball,0.6431691809040082
sulcus,anatomy,28,Central sulcus,0.8555143755599907
left parieto-occipital scalp,anatomy,28,Left parietal zone of scalp,0.8995400062496249
left cerebral,anatomy,28,Left cerebral hemisphere,0.9036564650000127
right facial,anatomy,28,Right side of face,0.9048136880423291
external capsule region,anatomy,28,Capsule of lens,0.797267868233036
right parietal white matter,anatomy,28,White matter of right parietal lobe,0.8714563205552085
aqueduct,anatomy,28,Cerebral aqueduct,0.866818063347863
retro-orbital,anatomy,28,Vermilion of lower lip,0.7233710526751934
right temporal scalp,anatomy,28,Right temporal zone of scalp,0.9183378629237002
left aca,anatomy,28,Left insular artery,0.6077899118048848
right side of the falx,anatomy,28,Right fusiform gyrus,0.6999910617340152
left supraorbital region,anatomy,28,Left peri-orbital region of face,0.8370317688146085
inferior right basal ganglia,anatomy,28,Right thalamus,0.689197171404064
floor of the right maxillary sinus,anatomy,28,Right maxillary sinus,0.7919200136572654
right temporomandibular joint,anatomy,28,Right temporomandibular joint,0.9945017983287846
skeleton,anatomy,28,Heterogeneous set of bones,0.8249326787959973
periventricular regions,anatomy,28,Cerebral part of head,0.7235436269679615
right anterior frontal region,anatomy,28,Right frontal pole,0.8463836351765507
left parietal lobes,anatomy,28,Left parietal lobe,0.9663268457597748
subcutaneous fat,anatomy,28,Superficial fascia,0.7749837022836377
splenium of the corpus callosum,anatomy,28,Callosal sulcus,0.5977352607435436
collection,anatomy,28,Capsule,0.4568988320118359
pelvis,anatomy,28,Organ cluster,0.5435563938755289
tegmen tympani,anatomy,28,Tegmen tympani,0.992026808401552
atria of the lateral ventricles,anatomy,28,Atrium of lateral ventricle,0.8617386826949065
left frontal parietal region,anatomy,28,Left parietal part of head,0.8305814192298578
surgical site,anatomy,28,Organ segment,0.6527574865918939
odontoid,anatomy,28,Left suprameatal spine,0.5441161027819728
inferior left maxillary antrum,anatomy,28,Left maxillary sinus,0.8171143912940383
posterior left mca territory,anatomy,28,Left posterior subcentral sulcus,0.6567602217642968
left frontoparietal convexity,anatomy,28,Inferomedial segment of left frontal lobe,0.6574492323122735
intracranial internal carotid arteries,anatomy,27,Internal carotid artery,0.9051292852959252
genu of the corpus callosum,anatomy,27,Callosal sulcus,0.6244385213260932
right anterior temporal lobe,anatomy,27,Right temporal lobe,0.9458178120972789
bilateral parietal,anatomy,27,Left parietal part of head,0.6855294380965924
basilar skull,anatomy,27,Neurocranium,0.7720550546029392
right-sided scalp,anatomy,27,Right occipital zone of scalp,0.7931368393646285
m1 segment,anatomy,27,Zone of masseter,0.541352643952091
clinoid segments,anatomy,27,Left anterior clinoid process,0.6730193786182489
dural margin of the vertebral arteries,anatomy,27,Segment of vertebral artery,0.7564265680648372
right frontal temporal,anatomy,27,Right temporal part of frontal bone,0.8802726461247934
deep gray matter,anatomy,27,Subcortical gray matter,0.8842193822906801
right posterior convexity,anatomy,27,Right marginal sulcus,0.5773317120149306
left frontal parietal lobe,anatomy,27,Left frontal lobe,0.904033056779968
right side of the pons,anatomy,27,Right side of brainstem,0.8274487283721004
liver,anatomy,27,Lobular organ,0.4858532487205579
parotid,anatomy,27,Parotid gland,0.8791615893192003
subcortical left frontal lobe,anatomy,27,Left frontal lobe,0.9179433455925493
inferior frontal lobe,anatomy,27,Frontal lobe,0.918624455945577
left ica,anatomy,27,Left insular artery,0.7081490856278658
left division of the sphenoid sinus,anatomy,27,Left sphenoidal sinus,0.9111857221576378
periventricular subcortical white matter,anatomy,27,White matter of metencephalon,0.7616711175090107
anterior left thalamus,anatomy,27,Left thalamus,0.9376683071973698
posterior temporal lobes,anatomy,27,Temporal lobe,0.932406865409585
right parotid gland,anatomy,27,Right parotid gland,0.9958273875205159
endotracheal tube,anatomy,27,Pharyngotympanic tube,0.6238472113707825
left parotid gland,anatomy,27,Left parotid gland,0.9841433492691739
cavernous segments,anatomy,27,Cavernous artery,0.7250040745159864
optic chiasm,anatomy,27,Optic nerve-tract complex,0.7627711223345259
right parietal vertex,anatomy,27,Right parietal part of head,0.7206828394749543
midportion of the nasal septum,anatomy,26,Nasal septum,0.8028775646079538
internal auditory canals,anatomy,26,Internal ear,0.8905376598627727
high right frontal region,anatomy,26,Right side of frontal bone,0.7640278765768835
right occipital skull,anatomy,26,Right lateral part of occipital bone,0.8533534801374624
head of the caudate,anatomy,26,Wall of cerebral aqueduct,0.5632124949190285
globes orbits,anatomy,26,Orbital cavity,0.8416781633004979
parietal convexity,anatomy,26,Parietal zone of longitudinal fissure,0.6643678235152192
left occipital cortex,anatomy,26,Cortex of left occipital lobe,0.9415589946286635
sphenoid sinus cells,anatomy,26,Sphenoidal sinus,0.747346417480649
subcortical brain,anatomy,26,Subcortical gray matter,0.8609050111382375
left caudate body,anatomy,26,Juxtarestiform body,0.5556666070302388
craniotomy defect,anatomy,26,Cranial cavity,0.5738246346567157
quadrigeminal plate cisterns,anatomy,26,Interpeduncular cistern,0.7725899759911805
inferior aspect,anatomy,26,Lower eyelid,0.5173238628443849
carotid siphons skull,anatomy,26,Left carotid siphon,0.8193974213286359
gyri,anatomy,26,Straight gyrus,0.8065300417580514
fourth ventricular,anatomy,26,Fourth ventricle,0.9297798320064691
left subdural space,anatomy,26,Subdural space,0.8882115470293185
left frontoparietal lobe,anatomy,26,Left frontal lobe,0.8220909307486424
left anterior ethmoid air cells,anatomy,26,Left anterior ethmoidal cell,0.8984584445549478
left side of the falx,anatomy,26,Left fusiform gyrus,0.6649727352638716
posterior elements,anatomy,26,Posterior polar zone of lens,0.6455867836293341
lateral wall,anatomy,26,Wall of organ,0.6789181631058533
intracranial vessels of the skullbase,anatomy,26,Vasculature of skull bone,0.7928131529554934
right posterior frontal region,anatomy,26,Right frontalis,0.827383093586303
frontal bones,anatomy,25,Frontal bone,0.9809890028721061
inner table of the skull,anatomy,25,Neurocranium,0.6406879318068014
right frontotemporal scalp,anatomy,25,Right parietal zone of scalp,0.8137963144166089
subinsular white matter,anatomy,25,Segment of white matter of neuraxis,0.8131734120542268
anterior left frontal,anatomy,25,Left side of frontal bone,0.8194671118031603
zygoma,anatomy,25,Zygomatic bone,0.7983481130776339
left frontal temporal,anatomy,25,Left temporal part of frontal bone,0.8813897840853978
extraaxial spaces,anatomy,25,Anatomical compartment space,0.7520952932063806
occipital horns of both lateral ventricles,anatomy,25,Occipital horn of lateral ventricle,0.867062191981078
