Entity,IRI
Superior thyroid vein,fma.fma14323
Handle of left malleus,fma.fma270053
Left eye,fma.fma54450
Root of cranial nerve,fma.fma52609
Calvarium,fma.fma52800
Uveal part of sclera,fma.fma59703
Left side of upper jaw,fma.fma54554
Lateral pharyngeal space,fma.fma55081
Alveolodental segment 13,fma.fma289757
Mucosa of right retromolar region,fma.fma313914
Left intercollicular vein,fma.fma51377
Right eye,fma.fma54449
Wall of trunk of common carotid artery,fma.fma85628
Lingual tonsil,fma.fma54836
Inferior part of body of zygomatic bone,fma.fma318855
Integument of occipital part of head,fma.fma224196
Central retinal artery,fma.fma49879
Left posterior communicating artery,fma.fma50086
Lateral half of chin,fma.fma321758
Atlantic part of vertebral artery,fma.fma50495
Articular tributary of pterygoid plexus,fma.fma50958
Branch of inferior labial artery,fma.fma296681
Right greater wing of sphenoid,fma.fma53651
Anterior temporal branch of right middle cerebral artery,fma.fma50440
Head of deep part of masseter,fma.fma319265
Anterior horizontal limb of left lateral sulcus,fma.fma275333
Inferior conjunctival fornix,fma.fma59018
Anterolateral medullary vein,fma.fma51391
Right sphenoid emissary vein,fma.fma51995
Proximal tendon of left temporoparietalis,fma.fma319518
Conchal part of pinna,fma.fma61006
Right ventrolateral sulcus of spinal cord,fma.fma275499
Vasculature of endosteum of sphenoid bone,fma.fma315471
Left angle of mouth,fma.fma319534
Neural network of auriculotemporal part of head,fma.fma270105
Muscle body of orbicularis oris,fma.fma314308
Left occipital pole,fma.fma272835
Branch of posterior communicating artery,fma.fma50168
Set of commissural fibers,fma.fma279782
Middle part of right superior frontal gyrus,fma.fma72764
Posterior temporal diploic vein,fma.fma50788
Tenth anterior intercostal vein,fma.fma71203
Neural network of left temporal bone,fma.fma314889
Skin of mandibular part of mouth,fma.fma24769
Left minor sublingual duct,fma.fma59989
Orbital part of right greater wing of sphenoid,fma.fma54680
Proximal tendon of deep part of right masseter,fma.fma318839
Wall of bony part of left pharyngotympanic tube,fma.fma60077
Muscle body of left masseter,fma.fma314327
Right central sulcus,fma.fma275275
Tributary of angular vein,fma.fma51802
Middle part of left inferior nasal concha,fma.fma57604
Right procerus,fma.fma55610
Set of crura of antihelix,fma.fma77675
Tributary of superior petrosal vein,fma.fma51353
Vasculature of bony part of right palatine bone,fma.fma314842
Posteromedial central branch of posterior communicating artery,fma.fma50402
Vasculature of palatine bone,fma.fma259873
Inferior sagittal sinus,fma.fma50768
Medullary raphe nuclear complex,fma.fma68874
Proximal tendon of superficial part of masseter,fma.fma318819
Mucosa of segment of palate,fma.fma289589
Anterior inferior fissure of cerebellum,fma.fma75139
Bony part of left palatine bone,fma.fma259757
Bony part of left nasal bone,fma.fma259407
Skin of mandibular part proper of mouth,fma.fma224391
Areolar connective tissue of lower lip,fma.fma286376
Palatine tonsil,fma.fma9610
Cavernous branch of left internal carotid artery to wall of left petrosal sinus,fma.fma49867
Midbrain reticular formation,fma.fma62406
Right hyaloid canal,fma.fma58841
Distal tendon of transverse muscle of auricle,fma.fma320855
Intraocular part of left central retinal vein,fma.fma51898
Neural network of frontal bone,fma.fma314875
Region of conjunctiva,fma.fma59023
Right parietal bone,fma.fma52788
Mucosa of lower lip,fma.fma59833
Columella,fma.fma59725
Fusiform gyrus,fma.fma61908
White matter of left superior occipital gyrus,fma.fma271065
Systemic arterial trunk,fma.fma49918
Dorsolateral sulcus of medulla oblongata,fma.fma75608
Vasculature of right mandibular part proper of mouth,fma.fma314114
Subdural space of segment of spinal cord,fma.fma0326173
Preoccipital notch,fma.fma83739
Vasculature of periosteum of right lacrimal bone,fma.fma315429
Cartilaginous skeleton of nasal septum,fma.fma59838
Left side of frontal bone,fma.fma0328002
Right malleus,fma.fma74052
Right sphenoidal concha,fma.fma54734
Left supratragic tubercle,fma.fma228621
White matter of right parietal lobe,fma.fma256190
Nasal part of frontal bone,fma.fma52853
Posterior sheet of suspensory ligament of left lens,fma.fma58991
Pharyngeal lymphoid tissue,fma.fma79771
Left ramus proper of mandible,fma.fma53663
Muscle body of left nasalis,fma.fma314223
Anterior region of face,fma.fma0326065
Left internal auditory vein,fma.fma52395
Subdivision of spinal trigeminal nucleus,fma.fma235320
Cerebral vein,fma.fma50981
Dorsal external arcuate tract,fma.fma72630
Nasal mucosa of hard palate,fma.fma293383
Thoracoepigastric vein,fma.fma13416
Ala of nose,fma.fma59519
Lateral glandular branch of superior thyroid artery,fma.fma49494
Trunk of right buccal vein,fma.fma316959
Dorsal lingual artery,fma.fma49546
Fascial sheath of right eyeball,fma.fma58736
Superficial fascia of right parietal part of head,fma.fma86599
White matter of right superior frontal gyrus,fma.fma270939
Lateral striate branch of middle cerebral artery,fma.fma322920
Inferior postcentral sulcus,fma.fma83776
Right half of hypothalamus,fma.fma282278
Wall of anterior segment of right eyeball,fma.fma58763
Bony part of maxilla,fma.fma259759
Left choroid proper,fma.fma58461
Superior cornu of modiolus of left labial part of mouth,fma.fma319435
Alveolodental segment 29,fma.fma289789
Right parieto-occipital sulcus,fma.fma275287
Vasculature of endosteum,fma.fma315401
Tributary of superior ophthalmic vein,fma.fma51728
Lumen of trunk of right posterior inferior cerebellar artery,fma.fma262411
Left superficial middle cerebral vein,fma.fma50985
Trunk of brachial vein,fma.fma78011
Lateral sulcus,fma.fma77801
Deep fascial system of head proper,fma.fma270179
Left ear,fma.fma53642
Subdural space of sacral segment of spinal cord,fma.fma0323733
Wall of artery,fma.fma14155
Labial side of maxillary gingiva,fma.fma289387
Fasciculus of spinal cord,fma.fma75799
Inferior palpebral vein,fma.fma50913
Right intercollicular vein,fma.fma51376
Retrobulbar space,fma.fma322127
Labial part of vestibule of mouth,fma.fma289318
Wall of middle part of external acoustic tube,fma.fma61329
Fimbriodentate fissure,fma.fma83728
Posterior humeral circumflex vein,fma.fma71216
Upper jaw,fma.fma54397
Right supra-orbital margin,fma.fma317106
Vermilion of right side of upper lip,fma.fma305948
Bony part of left incus,fma.fma63991
Palpebral conjunctiva of left upper eyelid,fma.fma223078
Ventricular system of forebrain,fma.fma268539
Neural network of mandibular part of mouth,fma.fma270143
Medulla oblongata segment of ventricular system,fma.fma268481
Bone of ethmoid,fma.fma259791
Isthmus segment of bony part of right pharyngotympanic tube,fma.fma285317
Fourth ventricle,fma.fma78469
Trunk of segmental medullary branch of vertebral artery,fma.fma302111
White matter of left postcentral gyrus,fma.fma271037
Squamous part proper of left temporal bone,fma.fma55431
Cerebral part of internal carotid artery,fma.fma49824
Orbital branch of right infra-orbital artery,fma.fma49789
Articular cartilage of posterior part of zygomatic process of temporal bone,fma.fma57096
Bone of left nasal bone,fma.fma236781
Muscular branch of ophthalmic artery,fma.fma49961
Midface,fma.fma285406
Orbital part of left greater wing of sphenoid,fma.fma54681
White matter of right anterior orbital gyrus,fma.fma270959
Left posterior deep temporal artery,fma.fma49750
Orbital vein,fma.fma321572
Cavernous branch of internal carotid artery to wall of petrosal sinus,fma.fma49865
Neural network of maxilla,fma.fma314891
Superficial fascia of right external ear,fma.fma61713
Vasculature of parietal bone,fma.fma234151
Neural layer of left retina,fma.fma58632
Left fissura antitragohelicina,fma.fma61186
Right inferior rostral sulcus,fma.fma275361
Lamina propria of mucosa of mouth,fma.fma265155
Tributary of vestibulocochlear vein,fma.fma52432
Proximal tendon of left procerus,fma.fma319540
Tributary of inferior thyroid vein,fma.fma62828
Right greater horn of hyoid bone,fma.fma59497
Belly of muscle of head,fma.fma319795
Vasculature of head proper,fma.fma74720
Frontal process of maxilla,fma.fma52894
Lateral nasal artery,fma.fma49580
Left salpingopalatine fold,fma.fma54992
Proximal tendon of auricularis anterior,fma.fma319644
Left orbital content,fma.fma260127
Superior terminal branch of middle cerebral artery,fma.fma50436
Posterior part of inferior nasal concha,fma.fma57599
Right facial vein,fma.fma50876
Muscle body of helicis minor,fma.fma318546
Upper sternocleidomastoid branch of right occipital artery,fma.fma49595
Superficial fascia of dorsum of nose,fma.fma59550
Branch of right anterior choroidal artery to right lateral ventricle,fma.fma50131
Neural network of maxillary arch,fma.fma270141
Cervical branch of facial artery,fma.fma49553
Medial plate of left pterygoid process,fma.fma54692
Posterior part of soft palate,fma.fma59853
Internal arcuate tract,fma.fma72629
Substantia nigra,fma.fma67947
Belly of left superior tarsal muscle,fma.fma320055
Decussation,fma.fma9649
Set of left maxillary periodontia,fma.fma313944
Right cingulate sulcus,fma.fma275253
Right ciliary muscle,fma.fma49152
Right supra-optic artery,fma.fma50317
Coronal suture,fma.fma52928
Capsule of anterior lens,fma.fma280295
Medial ligament of left temporomandibular joint,fma.fma57076
Anterolateral central branch of left middle cerebral artery,fma.fma50378
Upper sternocleidomastoid branch of occipital artery,fma.fma49593
Right angle of mandible,fma.fma318876
Trabecular bone of occipital bone,fma.fma235244
Lobe of left sublingual gland,fma.fma60049
Skin of temple,fma.fma320486
Skeletal system of middle ear,fma.fma260392
Cerebellar tonsillar branch of right posterior inferior cerebellar artery,fma.fma50526
Right superior hypophyseal artery,fma.fma49850
Right orbital content,fma.fma260124
Right side of upper lip proper,fma.fma281630
Mucosa of external part of mouth,fma.fma313951
Trunk of right masseteric vein,fma.fma78184
Superficial fascia of root of nose,fma.fma59549
Trunk of left lingual vein,fma.fma66683
White matter of left inferior frontal gyrus,fma.fma270957
Right upper buccal sulcus,fma.fma289310
Submandibular gland,fma.fma55093
Gray matter of right anterior transverse temporal gyrus,fma.fma270572
Left pterygomeningeal artery,fma.fma49738
Hair of chin,fma.fma54359
Inferior nasal concha,fma.fma54736
Trunk of mammary tributary of axillary vein,fma.fma77946
Trunk of left sixth anterior intercostal vein,fma.fma78162
Gray matter of left inferior temporal gyrus,fma.fma270562
Left lateral palpebral commissure,fma.fma59318
Vasculature of brain,fma.fma242007
Vena comitantes of left internal thoracic artery,fma.fma4769
Right internal auditory vein,fma.fma52394
Esophageal tributary of hemi-azygos vein,fma.fma62833
Brodmann area 11 of right medial frontal gyrus,fma.fma273125
Systemic arterial tree of male human body,fma.fma269094
Sweat gland of upper eyelid,fma.fma59164
Right transverse pontine vein,fma.fma51355
Subdivision of internal jugular vein,fma.fma77959
Skin of cheek,fma.fma24759
White matter of left occipital lobe,fma.fma261089
Trunk of right middle cerebral artery,fma.fma61991
Ascending palatine artery,fma.fma49555
White matter of right middle transverse frontopolar gyrus,fma.fma274465
Spinothalamic tract of medulla,fma.fma72644
Left cornea,fma.fma58240
Vermilion of lower lip,fma.fma59828
Orbital space,fma.fma59828
Subarachnoid space of cervical segment of spinal cord,fma.fma0323730
Right buccal fat pad,fma.fma59800
Zone of intra-ocular part of optic nerve,fma.fma58712
Branch of left anterior choroidal artery to left anterior perforated substance,fma.fma50135
Medial part of body of left zygomatic bone,fma.fma319219
Lateral half of face,fma.fma321733
Trunk of right fourth anterior intercostal vein,fma.fma78165
Capsule of lens,fma.fma58881
Branch of anterior choroidal artery to tuber cinereum,fma.fma50128
Lumen of trunk of posterior inferior cerebellar artery,fma.fma262409
Brodmann area 30 of cuneus,fma.fma271533
Posterior orbital gyrus,fma.fma80184
Brodmann area 25 of left middle frontal gyrus,fma.fma271379
Epiglottis,fma.fma55130
Chiasmatic cistern,fma.fma74515
Auricularis superior,fma.fma46855
Trunk of subclavian vein,fma.fma66649
Gray matter of right postcentral gyrus,fma.fma270590
Cerebral hemisphere,fma.fma61817
Proximal tendon of superficial part of right masseter,fma.fma318821
Superficial fascia of external nose,fma.fma224066
Skin of pinna of left ear,fma.fma61318
Musculature of chin,fma.fma314094
Inferior terminal branch of middle cerebral artery,fma.fma50439
Right cerebellar vein,fma.fma51228
Lumen of trunk of anterior cerebellar artery,fma.fma262435
Lumen of left lacrimal duct,fma.fma85380
Nasal septal branch of right superior labial artery,fma.fma49575
Oropharynx,fma.fma54879
Vasculature of endosteum of right palatine bone,fma.fma315495
Capsule of left lens,fma.fma58883
Lumen of common carotid artery,fma.fma83090
Superior pontine sulcus,fma.fma83742
Right medullopontine sulcus,fma.fma275527
Proximal tendon of temporoparietalis,fma.fma319514
Mucosa of right tympanic membrane,fma.fma56845
Dura mater,fma.fma9592
Rubrospinal tract,fma.fma72640
Branch of sphenopalatine artery,fma.fma49807
Branch of anterior choroidal artery to crus cerebri,fma.fma50127
Skeletal muscle tissue of occipitalis,fma.fma318376
Right lateral frontobasal artery,fma.fma50443
Medial medullary branch of left vertebral artery,fma.fma50536
Left lacrimal artery,fma.fma49929
Vascular layer of eyeball,fma.fma58103
Squamous part of right temporal bone,fma.fma52884
Brodmann area 9 of left middle frontal gyrus,fma.fma271653
Inferior temporal vein,fma.fma51303
Skin of parotid part of face,fma.fma79744
Vasculature of hyoid bone,fma.fma259887
Superficial fascia of right temporal part of head,fma.fma86606
Superficial fascia of right orbital part of face,fma.fma269985
Left cricothyroid vein,fma.fma77972
Superficial fascia of left ala of nose,fma.fma59554
Pre-optic artery,fma.fma50313
Nasal bone,fma.fma52745
Mastoid artery,fma.fma49599
Palpebral commissure,fma.fma59222
Left fusiform gyrus,fma.fma72690
White matter of left superior parietal lobule,fma.fma271049
Trunk of left second anterior intercostal vein,fma.fma78170
Nasal epithelium,fma.fma63140
Lateral branch of artery of tuber cinereum,fma.fma50419
Palpebral part of left orbicularis oculi,fma.fma46786
Ampulla of lacrimal canaliculus,fma.fma59585
Superior macular artery,fma.fma51904
Branch of anterior choroidal artery to hippocampus,fma.fma50123
Posterior conjunctival artery,fma.fma50016
Left masseteric vein,fma.fma52521
Right anterior subcentral sulcus,fma.fma275353
Right lingual gyrus,fma.fma72681
Set of bones of skull,fma.fma272821
Meningeal branch of left internal carotid artery,fma.fma70539
Ventral part of lateral occipital gyrus,fma.fma274243
Right common carotid artery,fma.fma3941
Neuronal component of white matter of medulla oblongata,fma.fma268488
Postcommunicating part of posterior cerebral artery,fma.fma50591
White matter of left lingual gyrus,fma.fma271061
Skeletal system of head,fma.fma87596
Inferior tympanic artery,fma.fma49506
Brodmann area 3 of right precentral gyrus,fma.fma271772
Ventrolateral fissure of midbrain,fma.fma84042
Right retro-auricular part of head,fma.fma322168
Left lower eyelid,fma.fma54444
Eyelash of upper eyelid,fma.fma59408
Portion of vitreous humor,fma.fma67388
Mucosa of internal nose,fma.fma59661
Posterior temporal branch of middle cerebral artery,fma.fma50469
Left dorsal lingual vein,fma.fma50829
Superciliary arch,fma.fma52850
Set of projection fibers,fma.fma279778
Parotid branch of left posterior auricular artery,fma.fma49649
Cerebellar cortex,fma.fma72248
Trunk of left middle cerebral artery,fma.fma67684
Left lesser wing proper of sphenoid,fma.fma54726
Trunk of buccal vein,fma.fma316957
Zone of mandible,fma.fma52826
Stapes,fma.fma52751
Head of right nasalis,fma.fma320086
Right lateral pharyngeal space,fma.fma55082
Subdural space,fma.fma83803
Left anterior choroidal artery,fma.fma50089
Alveolar part of right maxilla,fma.fma269586
Superficial fascia of left auricular part of head,fma.fma86604
Floor of left orbit,fma.fma53087
Wall of fourth ventricle,fma.fma242778
Trunk of thalamotuberal artery,fma.fma76180
Tributary of vein of vestibular aqueduct,fma.fma52406
Left temporal part of head,fma.fma74807
Superficial fascia of left peri-auricular part of head,fma.fma269995
Unpaired dural venous sinus,fma.fma52569
Vasculature of zygomatic part of right cheek,fma.fma314202
Left auricularis anterior,fma.fma48960
Helical part of auricular cartilage,fma.fma61342
Arcuate nucleus of medulla,fma.fma72609
Mastoid air cell of left temporal bone,fma.fma56152
Left superficial temporal artery,fma.fma49652
Skeletal muscle tissue of left temporoparietalis,fma.fma318386
Corneoscleral part of sclera,fma.fma59702
Hilum of neuraxis,fma.fma83871
Right palatomaxillary suture,fma.fma53011
Right lateral ventricle,fma.fma78449
Right external acoustic meatal space,fma.fma242892
Left posterior cerebral artery,fma.fma50585
Deep facial vein,fma.fma50916
Brodmann area 32 of left medial frontal gyrus,fma.fma274891
Occipitofrontalis,fma.fma9624
Right optic canal space,fma.fma314941
Right upper central incisor tooth bony socket,fma.fma269602
Stapedial branch of posterior tympanic artery,fma.fma49638
Branch of right anterior inferior cerebellar artery to pons,fma.fma50552
Posterior ethmoidal sinus,fma.fma57454
Wall of middle ear,fma.fma77677
Left eighth anterior intercostal vein,fma.fma4789
Trunk of left tenth anterior intercostal vein,fma.fma78154
Precentral sulcus,fma.fma83800
External occipital crest,fma.fma75753
Hair of scalp,fma.fma75753
Right occipital branch to occipital head of epicranius,fma.fma79405
Meningeal branch of right internal carotid artery,fma.fma70538
Posterior glandular branch of superior thyroid artery,fma.fma49491
Smooth muscle layer,fma.fma297484
Distal medial striate artery,fma.fma50327
Left infratemporal fossa compartment,fma.fma0329343
Neural layer of retina,fma.fma58628
Mucosa of epiglottis,fma.fma64015
Right lateral occipital gyrus,fma.fma72677
Vein of scala vestibuli,fma.fma52427
Left posterior parolfactory sulcus,fma.fma275305
Vasculature of bony part of hyoid bone,fma.fma315259
Inner part of right external acoustic tube,fma.fma61308
Region of lower lip proper,fma.fma304688
Right external jugular vein,fma.fma13111
White matter of telencephalon,fma.fma83930
Neural network of labial part of mouth,fma.fma270139
Face,fma.fma24728
Right lesser wing proper of sphenoid,fma.fma54725
Mucosa of maxillary sinus,fma.fma59773
Tonsillar branch of ascending palatine artery,fma.fma79228
Medial branch of auricular branch of right posterior auricular artery,fma.fma79395
Brainstem,fma.fma79876
Upper sternocleidomastoid branch of left occipital artery,fma.fma49596
Subcuneiform nucleus,fma.fma72428
Anatomical orifice,fma.fma3724
Right fusiform gyrus,fma.fma72689
Postlaminar part of intra-ocular part of left optic nerve,fma.fma58721
Palatine branch of ascending palatine artery,fma.fma79225
Hypophysial short portal vein,fma.fma79225
Orbital content,fma.fma260119
Superficial branch of descending branch of left occipital artery,fma.fma49617
Squamous part of left temporal bone,fma.fma52885
Organ with organ cavity,fma.fma55672
Tarsal gland of right lower eyelid,fma.fma63972
Recurrent temporal artery,fma.fma50461
Branch of left anterior choroidal artery to posterior limb of left internal capsule,fma.fma50147
Left parietal wall of head proper,fma.fma320505
Vasculature of bony part of sphenoid bone,fma.fma314835
Wall of trunk of right external carotid artery,fma.fma262465
Dermis of lower lip,fma.fma304637
Integument of subdivision of external nose,fma.fma224090
Anterior process of malleus,fma.fma52771
Alveolodental segment 6,fma.fma289743
Skin of left peri-auricular part of head,fma.fma70330
Vitreous chamber of right eyeball,fma.fma58852
Inferior hypophyseal vein,fma.fma78538
Cartilage of external acoustic tube,fma.fma61298
Neural tissue of medulla oblongata,fma.fma268484
Superficial fascia of left mandibular part proper of mouth,fma.fma289638
Lateral half of upper lip,fma.fma321780
Wall of nasolacrimal duct,fma.fma59718
Head of auricularis anterior,fma.fma320886
Superficial fascia of right peri-auricular part of head,fma.fma269993
Right retina,fma.fma58302
Right buccal artery,fma.fma49755
Dorsal column-medial lemniscal pathway structure,fma.fma258685
Trunk of left pharyngeal vein,fma.fma66677
Left lacrimal lake,fma.fma59542
Lateral vestibular nucleus,fma.fma54614
Tubal tonsil,fma.fma54975
Superior laryngeal vein,fma.fma14324
Auricular branch of right posterior auricular artery,fma.fma49642
Inferior petrosal sinus,fma.fma50770
Trunk of lateral thoracic vein,fma.fma77937
Neuroglial network of gray matter of midbrain,fma.fma268572
Retropalpebral space,fma.fma0329315
Labial part of mouth,fma.fma59815
Jugular process,fma.fma75750
Neural network of mouth,fma.fma270133
Neural tissue of metencephalon,fma.fma268531
Integument of pre-auricular part of left cheek,fma.fma224136
Leptomeningeal sac,fma.fma231515
Skeletal system of right middle ear,fma.fma260394
Palpebral conjunctiva of left lower eyelid,fma.fma223075
Vermilion border region,fma.fma286140
Left labyrinthine artery,fma.fma50550
Right tympanic cavity,fma.fma56462
Subdivision of aponeurosis of epicranius,fma.fma79996
Posterior ligament of right incus,fma.fma60887
Branch of right anterior choroidal artery to right red nucleus,fma.fma50162
Amiculum,fma.fma83870
Second part of maxillary artery,fma.fma49680
Right lateral orbital gyrus,fma.fma72756
Posterior part of floor of mouth,fma.fma224220
Infratemporal part of right maxilla,fma.fma59054
Mucosa of labial part of mouth,fma.fma286368
Trunk of left facial vein,fma.fma66674
Orbital part of superior frontal gyrus,fma.fma276608
Sternocleidomastoid vein,fma.fma14325
Trunk of mediastinal tributary of accessory hemiazygos vein,fma.fma78039
Vasculature of endosteum of right maxilla,fma.fma315479
Gray matter of right medial orbital gyrus,fma.fma270524
Left substantia nigra pars compacta,fma.fma73542
Left arcuate eminence,fma.fma55972
Vertebral vein,fma.fma4727
Orbital cavity,fma.fma84961
Sagittal subarachnoid space,fma.fma0327223
Anterior auricular branch of right superficial temporal artery,fma.fma49661
Right coronoid process of mandible,fma.fma52834
Skin of scalp,fma.fma24757
Skin of left ala of nose,fma.fma59536
Isthmus of cartilage of external ear,fma.fma61197
Gyrus descendens of Ecker,fma.fma274557
Posterior superior alveolar artery,fma.fma49757
Wall of external acoustic tube,fma.fma61319
Flat bone,fma.fma7476
Left deep cervical vein,fma.fma4836
Trunk of anterior cerebellar artery,fma.fma86081
Mucosa of secondary tympanic membrane,fma.fma57008
Left anterior inferior cerebellar artery,fma.fma50546
Superior sagittal sinus,fma.fma50767
Left orbital cavity,fma.fma84963
Brodmann area 11 of left inferior frontal gyrus,fma.fma271360
Left great cerebral vein,fma.fma50995
Collateral trigone of right lateral ventricle,fma.fma242372
First superior hypophysial artery,fma.fma79599
Central insular sulcus,fma.fma83779
Right middle thyroid vein,fma.fma50824
Sphenopalatine vein,fma.fma52522
Right tegmen tympani,fma.fma56092
Tonsillar artery,fma.fma49558
Left posterior subcentral sulcus,fma.fma275403
Integument of head,fma.fma74660
Alar branch of superior labial artery,fma.fma49577
Tendon of occipitalis,fma.fma318750
Vasculature of right auriculotemporal part of head,fma.fma270067
Anterior sheet of suspensory ligament of left lens,fma.fma58989
Left posterior lacrimal crest,fma.fma57611
Anterior wall of external acoustic tube,fma.fma224242
Articular capsule of left temporomandibular joint,fma.fma57052
Left sphenoid emissary vein,fma.fma51996
Region of eyelid,fma.fma51996
Brachiocephalic artery,fma.fma3932
Periosteum of right zygomatic bone,fma.fma259825
Superior labial vein,fma.fma52538
Base of right stapes,fma.fma270019
Right cornea,fma.fma58239
Brodmann area 32 of right middle frontal gyrus,fma.fma271499
Hair of head,fma.fma54241
Magnocellular part of red nucleus,fma.fma72431
Trunk of esophageal tributary of accessory hemiazygos vein,fma.fma78038
White matter of right lingual gyrus,fma.fma271059
Trunk of right facial vein,fma.fma66673
Parietal branch of right middle meningeal artery,fma.fma49727
Conchal crest of right palatine bone,fma.fma59157
Mucosa of nose,fma.fma59684
Gray matter of right posterior transverse temporal gyrus,fma.fma270578
Anterior cerebral vein,fma.fma51306
Left inferior thyroid vein,fma.fma4765
Superior vein of vermis,fma.fma51230
Trunk of radicular branch of left vertebral artery,fma.fma302109
Periosteum of ethmoid,fma.fma259837
Retropharyngeal space,fma.fma286702
Parotid gland,fma.fma59790
Pharyngeal branch of ascending pharyngeal artery,fma.fma49520
Right vocal fold,fma.fma55458
Segment of major alar cartilage,fma.fma59543
Vasculature of bony part of right temporal bone,fma.fma314814
Red nucleus,fma.fma62407
Left cheek,fma.fma53638
External axis of eyeball,fma.fma58292
Alveolodental segment 20,fma.fma289771
Right conjunctival ring,fma.fma58347
Integument of eye,fma.fma270155
Gray matter of left gyrus descendens of Ecker,fma.fma274648
Bone of left maxilla,fma.fma259775
Distal tendon of superficial part of left masseter,fma.fma318832
Supra-orbital part of frontal bone,fma.fma317102
Tributary of external jugular vein,fma.fma14317
Right lacrimal hamulus,fma.fma57607
Whole portion of vitreous humor,fma.fma58822
Prefrontal vein,fma.fma51101
Wall of third ventricle,fma.fma242776
Intracranial part of vertebral artery,fma.fma50496
Right suprahyoid artery,fma.fma49541
Left nasalis,fma.fma55607
Medial striate branch of right middle cerebral artery,fma.fma50431
White matter of right posterior orbital gyrus,fma.fma270963
Internal jugular vein,fma.fma4724
Right orbital vein,fma.fma321973
Orbital part of left inferior frontal gyrus,fma.fma72755
Integument of left eye,fma.fma270159
Trunk of right tenth anterior intercostal vein,fma.fma78153
Right musculophrenic vein,fma.fma4772
Skin of frontal part proper of head,fma.fma63873
Lamina of cortex of occipital lobe,fma.fma242405
Periosteum of right palatine bone,fma.fma259844
Mucosa of right secondary tympanic membrane,fma.fma57013
Bony part of left parietal bone,fma.fma235066
Subdivision of auriculotemporal part of head,fma.fma61708
Root of nose,fma.fma59516
Zone of occipital bone,fma.fma52857
Wall of left lateral ventricle,fma.fma242784
Right sphenoidal sinus,fma.fma54707
Calcarine sulcus,fma.fma83749
Left deep facial vein,fma.fma50918
Faucial pillar,fma.fma60022
Vasculature of endosteum of occipital bone,fma.fma315457
Left inferior temporal vein,fma.fma51602
Masticator compartment,fma.fma55090
Sulcus of left auditory tube,fma.fma275521
Vasculature of skull bone,fma.fma320754
Proximal lateral striate branch of right middle cerebral artery,fma.fma50387
Belly of levator palpebrae superioris,fma.fma319811
Mucosa of larynx,fma.fma59662
White matter of right lateral occipital gyrus,fma.fma271067
Helical part of left auricular cartilage,fma.fma61354
Anterior spinal artery,fma.fma50531
Bone of left parietal bone,fma.fma234993
Right posterior lateral choroidal artery,fma.fma50674
Branch of pontine artery,fma.fma50563
Mylohyoid artery,fma.fma49702
Nasal crest of palatine process of left maxilla,fma.fma59115
Vasculature of forebrain,fma.fma268542
Right parotid gland,fma.fma59797
Endo-epithelial cell,fma.fma69075
Right superior labial artery proper,fma.fma277678
Left inferior transverse frontopolar gyrus,fma.fma274418
Palatine branch of left ascending palatine artery,fma.fma79227
Left superior conjunctival fornix,fma.fma59022
Right vertebral artery,fma.fma3958
Vasculature of lower lip,fma.fma286274
Fibrous layer of eyeball,fma.fma58102
Arachnoid mater,fma.fma9591
Anterior temporal artery,fma.fma50382
Right labyrinthine artery,fma.fma50549
Masseter,fma.fma48996
Vestibulospinal tract,fma.fma72646
Left lunate sulcus,fma.fma275451
Belly of left temporoparietalis,fma.fma319889
Postlaminar part of intra-ocular part of optic nerve,fma.fma58713
Precentral cerebellar vein,fma.fma51234
Middle part of superior frontal gyrus,fma.fma70683
Branch of right anterior choroidal artery to right globus pallidus,fma.fma50150
Right sternocleidomastoid vein,fma.fma50814
Right processus cochleariformis,fma.fma314615
Left ciliary muscle,fma.fma49153
Head,fma.fma7154
Temporal branch of lacrimal artery,fma.fma51962
Cingulate sulcus proper,fma.fma275257
Vasculature of mouth,fma.fma74747
Bony part of vomer,fma.fma259733
Left anterior parietal artery,fma.fma50487
Brodmann area 3 of left precentral gyrus,fma.fma271774
Lower lip,fma.fma59818
Nasal septal branch of superior labial artery,fma.fma49573
Subdivision of frontal part of head,fma.fma63862
Left lesser wing of sphenoid,fma.fma53654
Right lacrimal apparatus,fma.fma59368
Endosteum of right palatine bone,fma.fma315027
Tributary of straight sinus,fma.fma51265
Wall of trunk of anterior cerebellar artery,fma.fma85663
Sebaceous gland of upper eyelid,fma.fma59195
Endosteum of left temporal bone,fma.fma314983
Posterior lens proper,fma.fma280157
Branch of right anterior choroidal artery to posterior limb of right internal capsule,fma.fma50146
Left supra-orbital margin,fma.fma317108
Medial branch of artery of tuber cinereum,fma.fma50418
Brodmann area 6 of right precentral gyrus,fma.fma271559
Lateral process of right malleus,fma.fma270039
Right major sublingual duct,fma.fma59990
Integument of right external ear,fma.fma224076
Left musculophrenic vein,fma.fma4786
Left facial artery,fma.fma49551
Right antihelix,fma.fma60996
Distal tendon of transverse part of left nasalis,fma.fma319574
Left superior thyroid artery,fma.fma49487
Left jugular process,fma.fma86297
Right salpingopalatine fold,fma.fma54991
Left salpingopharyngeal fold,fma.fma54989
Left mastoid process,fma.fma52874
Vasculature of chin,fma.fma314110
Medullary cavity of left lacrimal bone,fma.fma314790
Tributary of left superior intercostal vein,fma.fma0327032
Brodmann area 9 of left superior frontal gyrus,fma.fma271738
Recurrent branch of left ophthalmic artery,fma.fma51970
